,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry_x,declare_date,epsFix,epsForecastFix,exOrEffDate,type,dividend_y,declarationDate,recordDate,paymentDate,currency,dividend_yield_Rate_y,price,industry_y,dividend,lastYearRptDt,lastYearEPS
0,$0.56,14.29,time-not-supplied,HTHT,H World Group Limited,"$10,874,773,572",Sep/2023,$0.49,1,,2023-11-24,0.56,0.49,12/20/2023,Cash,$0.93,11/29/2023,12/21/2023,01/17/2024,USD,N/A,$6.37,Home Furnishings,,,
1,$0.50,N/A,time-after-hours,NTZ,"Natuzzi, S.p.A.","$70,163,059",Sep/2023,,N/A,,2023-11-24,0.50,,05/26/2005,Cash,$0.0616,N/A,05/31/2005,07/15/2005,USD,N/A,$6.37,Home Furnishings,,,
2,$1.10,64.18,time-not-supplied,SDRL,Seadrill Limited,"$3,216,364,900",Sep/2023,$0.67,1,,2023-11-27,1.10,0.67,12/03/2013,Cash,$0.95,N/A,12/05/2013,N/A,USD,N/A,$2.23,Marine Transportation,,,
3,$0.08,N/A,time-not-supplied,TIGR,UP Fintech Holding Limited,"$697,150,123",Sep/2023,,N/A,,2023-11-27,0.08,,,,,,,,,,,,,,
4,$0.63,N/A,time-not-supplied,ITRN,Ituran Location and Control Ltd.,"$528,289,700",Sep/2023,,N/A,,2023-11-27,0.63,,12/19/2023,Cash,$0.24,11/27/2023,12/20/2023,01/04/2024,USD,N/A,$2.23,Marine Transportation,,,
5,$0.35,N/A,time-not-supplied,SUPV,Grupo Supervielle S.A.,"$332,419,959",Sep/2023,$0,1,,2023-11-27,0.35,0,05/13/2022,Cash,$0.015119,05/06/2022,05/16/2022,05/24/2022,USD,N/A,$2.23,Marine Transportation,,,
6,$0.02,N/A,time-not-supplied,EM,Smart Share Global Limited,"$158,101,030",Sep/2023,,N/A,,2023-11-27,0.02,,,,,,,,,,,,,,
7,$0.27,N/A,time-not-supplied,PSHG,Performance Shipping Inc.,"$26,544,604",Sep/2023,,N/A,,2023-11-27,0.27,,10/29/2020,Cash,$0.01,10/20/2020,10/30/2020,11/09/2020,USD,N/A,$2.23,Marine Transportation,,,
8,$1.45,46.46,time-not-supplied,PDD,PDD Holdings Inc.,"$185,124,874,118",Sep/2023,$0.99,2,,2023-11-28,1.45,0.99,,,,,,,,,,,,,
9,$1.14,62.86,time-not-supplied,INTU,Intuit Inc.,"$159,980,624,640",Oct/2023,$0.70,10,,2023-11-28,1.14,0.70,01/09/2024,Cash,$0.90,11/16/2023,01/10/2024,01/18/2024,USD,N/A,$0.796,Biotechnology: Pharmaceutical Preparations,,,
10,$0.47,46.88,time-not-supplied,WDAY,"Workday, Inc.","$71,635,940,000",Oct/2023,$0.32,8,,2023-11-28,0.47,0.32,,,,,,,,,,,,,
11,$0.16,77.78,time-not-supplied,CRWD,"CrowdStrike Holdings, Inc.","$57,675,578,537",Oct/2023,$0.09,13,,2023-11-28,0.16,0.09,,,,,,,,,,,,,
12,$0.93,-21.85,time-not-supplied,BNS,Bank of Nova Scotia (The),"$53,709,325,140",Oct/2023,$1.19,4,,2023-11-28,0.93,1.19,,,,,,,,,,,,,
13,$0.77,156.67,time-not-supplied,SPLK,Splunk Inc.,"$25,445,185,000",Oct/2023,$0.30,5,,2023-11-28,0.77,0.30,,,,,,,,,,,,,
14,$0.49,32.43,time-not-supplied,HPE,Hewlett Packard Enterprise Company,"$20,679,779,270",Oct/2023,$0.37,5,,2023-11-28,0.49,0.37,12/12/2023,Cash,$0.13,11/28/2023,12/13/2023,01/11/2024,USD,N/A,$0.796,Biotechnology: Pharmaceutical Preparations,,,
15,$1.23,12.84,time-not-supplied,NTAP,"NetApp, Inc.","$18,353,245,666",Oct/2023,$1.09,9,,2023-11-28,1.23,1.09,01/04/2024,Cash,$0.50,11/28/2023,01/05/2024,01/24/2024,USD,N/A,$0.796,Biotechnology: Pharmaceutical Preparations,,,
16,$1.65,-3.51,time-not-supplied,ESLT,Elbit Systems Ltd.,"$9,278,463,500",Sep/2023,$1.71,1,,2023-11-28,1.65,1.71,12/22/2023,Cash,$0.50,11/27/2023,12/26/2023,01/08/2024,USD,N/A,$0.796,Biotechnology: Pharmaceutical Preparations,,,
17,$0.35,34.62,time-not-supplied,AZEK,The AZEK Company Inc.,"$5,154,709,513",Sep/2023,$0.26,7,,2023-11-28,0.35,0.26,,,,,,,,,,,,,
18,$0.01,N/A,time-not-supplied,SID,National Steel Company,"$4,521,980,359",Sep/2023,,N/A,,2023-11-28,0.01,,05/10/2023,Cash,$0.117495,05/02/2023,05/11/2023,N/A,USD,N/A,$0.796,Biotechnology: Pharmaceutical Preparations,,,
19,$0.02,128.57,time-not-supplied,FLNC,"Fluence Energy, Inc.","$3,908,339,968",Sep/2023,($0.07),9,,2023-11-28,0.02,-0.07,,,,,,,,,,,,,
20,$0.13,-13.33,time-not-supplied,LESL,"Leslie's, Inc.","$1,000,931,828",Sep/2023,$0.15,5,,2023-11-28,0.13,0.15,,,,,,,,,,,,,
21,$0,N/A,time-not-supplied,LITB,"LightInTheBox Holding Co., Ltd.","$118,948,925",Sep/2023,,N/A,,2023-11-28,0,,,,,,,,,,,,,,
22,$0.08,N/A,time-not-supplied,JCTCF,Jewett-Cameron Trading Company,"$18,176,780",Aug/2023,,N/A,,2023-11-28,0.08,,,,,,,,,,,,,,
23,$0.30,N/A,time-not-supplied,ALAR,Alarum Technologies Ltd.,"$15,378,000",Sep/2023,,N/A,,2023-11-28,0.30,,,,,,,,,,,,,,
24,$0.10,N/A,time-not-supplied,NRSN,NeuroSense Therapeutics Ltd.,"$9,384,840",Sep/2023,,N/A,,2023-11-28,0.10,,,,,,,,,,,,,,
25,$1.62,7.28,time-not-supplied,CRM,"Salesforce, Inc.","$240,886,800,000",Oct/2023,$1.51,17,,2023-11-29,1.62,1.51,,,,,,,,,,,,,
26,$2.26,3.2,time-not-supplied,SNPS,"Synopsys, Inc.","$81,235,570,850",Oct/2023,$2.19,5,,2023-11-29,2.26,2.19,,,,,,,,,,,,,
27,$0.97,-3.96,time-not-supplied,DLTR,"Dollar Tree, Inc.","$27,613,089,295",Oct/2023,$1.01,12,,2023-11-29,0.97,1.01,,,,,,,,,,,,,
28,$0.42,-6.67,time-not-supplied,HRL,Hormel Foods Corporation,"$17,416,855,783",Oct/2023,$0.45,5,,2023-11-29,0.42,0.45,01/12/2024,Cash,$0.2825,11/20/2023,01/16/2024,02/15/2024,USD,N/A,$0.3912,Precious Metals,,,
29,$0.26,13.04,time-not-supplied,FIVE,"Five Below, Inc.","$10,813,919,034",Oct/2023,$0.23,11,,2023-11-29,0.26,0.23,,,,,,,,,,,,,
30,$0,100,time-not-supplied,NTNX,"Nutanix, Inc.","$10,775,439,736",Oct/2023,($0.11),6,,2023-11-29,0,-0.11,,,,,,,,,,,,,
31,$0.23,91.67,time-not-supplied,PSTG,"Pure Storage, Inc. ","$10,141,690,567",Oct/2023,$0.12,10,,2023-11-29,0.23,0.12,,,,,,,,,,,,,
32,$0.75,4.17,time-not-supplied,DCI,"Donaldson Company, Inc.","$7,359,514,390",Oct/2023,$0.72,3,,2023-11-29,0.75,0.72,08/14/2023,Cash,$0.25,07/28/2023,08/15/2023,08/30/2023,USD,N/A,$0.3912,Precious Metals,,,
33,$2.90,6.62,time-not-supplied,PVH,PVH Corp.,"$6,426,796,405",Oct/2023,$2.72,9,,2023-11-29,2.90,2.72,11/28/2023,Cash,$0.0375,11/01/2023,11/29/2023,12/20/2023,USD,N/A,$0.3912,Precious Metals,,,
34,$0,100,time-not-supplied,NCNO,"nCino, Inc.","$3,308,012,077",Oct/2023,($0.02),5,,2023-11-29,0,-0.02,,,,,,,,,,,,,
35,$0.30,30.43,time-not-supplied,FL,"Foot Locker, Inc.","$2,669,487,228",Oct/2023,$0.23,10,,2023-11-29,0.30,0.23,10/12/2023,Cash,$0.40,08/15/2023,10/13/2023,10/27/2023,USD,N/A,$0.3912,Precious Metals,,,
36,$1.15,36.9,time-not-supplied,YY,JOYY Inc.,"$2,627,303,233",Sep/2023,$0.84,1,,2023-11-29,1.15,0.84,09/25/2023,Cash,$0.20,09/07/2023,09/26/2023,10/13/2023,USD,N/A,$0.3912,Precious Metals,,,
37,$0.50,-15.25,time-not-supplied,PDCO,"Patterson Companies, Inc.","$2,443,470,570",Oct/2023,$0.59,8,,2023-11-29,0.50,0.59,01/18/2024,Cash,$0.26,12/05/2023,01/19/2024,02/02/2024,USD,N/A,$0.3912,Precious Metals,,,
38,$0.59,13.46,time-not-supplied,ROAD,"Construction Partners, Inc.","$2,223,816,716",Sep/2023,$0.52,4,,2023-11-29,0.59,0.52,,,,,,,,,,,,,
39,$2.77,N/A,time-not-supplied,IMKTA,"Ingles Markets, Incorporated","$1,608,063,872",Sep/2023,,N/A,,2023-11-29,2.77,,10/11/2023,Cash,$0.165,10/02/2023,10/12/2023,10/19/2023,USD,N/A,$0.3912,Precious Metals,,,
40,$0.74,19.35,time-not-supplied,LZB,La-Z-Boy Incorporated,"$1,539,634,924",Oct/2023,$0.62,2,,2023-11-29,0.74,0.62,09/05/2023,Cash,$0.1815,08/22/2023,09/06/2023,09/15/2023,USD,N/A,$0.3912,Precious Metals,,,
41,$0.08,N/A,time-not-supplied,GB,Global Blue Group Holding AG,"$886,046,105",Sep/2023,,N/A,,2023-11-29,0.08,,,,,,,,,,,,,,
42,$0.04,-42.86,time-not-supplied,NAT,Nordic American Tankers Limited,"$818,496,000",Sep/2023,$0.07,2,,2023-11-29,0.04,0.07,12/19/2023,Cash,$0.06,11/29/2023,12/20/2023,01/17/2024,USD,N/A,$0.3912,Precious Metals,,,
43,$0.46,N/A,time-not-supplied,NOAH,Noah Holdings Ltd.,"$794,166,994",Sep/2023,,N/A,,2023-11-29,0.46,,06/26/2023,Cash,$0.40,06/12/2023,06/27/2023,07/21/2023,USD,N/A,$0.3912,Precious Metals,,,
44,$0.10,-9.09,time-not-supplied,CNF,CNFinance Holdings Limited,"$144,708,361",Sep/2023,$0.11,1,,2023-11-29,0.10,0.11,,,,,,,,,,,,,
45,$0.01,N/A,time-not-supplied,TRX,TRX Gold Corporation,"$108,607,024",Aug/2023,$0.01,1,,2023-11-29,0.01,0.01,,,,,,,,,,,,,
46,$2.05,7.89,time-not-supplied,RY,Royal Bank Of Canada,"$128,583,712,923",Oct/2023,$1.90,3,,2023-11-30,2.05,1.90,,,,,,,,,,,,,
47,$1.35,-1.46,time-not-supplied,TD,Toronto Dominion Bank (The),"$106,278,045,000",Oct/2023,$1.37,4,,2023-11-30,1.35,1.37,04/09/2018,Cash,$0.519,03/01/2018,04/10/2018,04/30/2018,USD,N/A,$2.67,Computer Communications Equipment,,,
48,$1.62,31.71,time-not-supplied,DELL,Dell Technologies Inc.,"$49,619,833,443",Oct/2023,$1.23,5,,2023-11-30,1.62,1.23,01/22/2024,Cash,$0.37,12/05/2023,01/23/2024,02/02/2024,USD,N/A,$2.67,Computer Communications Equipment,,,
49,$0.24,N/A,time-not-supplied,MRVL,"Marvell Technology, Inc.","$45,118,255,000",Oct/2023,$0.24,13,,2023-11-30,0.24,0.24,10/05/2023,Cash,$0.06,09/14/2023,10/06/2023,10/25/2023,USD,N/A,$2.67,Computer Communications Equipment,,,
50,$1.16,2.65,time-not-supplied,CM,Canadian Imperial Bank of Commerce,"$39,709,165,169",Oct/2023,$1.13,4,,2023-11-30,1.16,1.13,10/18/2005,Cash,$0.989808,N/A,10/20/2005,11/21/2005,USD,N/A,$2.67,Computer Communications Equipment,,,
51,$0.95,5.56,time-not-supplied,KR,Kroger Company (The),"$32,225,346,854",Oct/2023,$0.90,8,,2023-11-30,0.95,0.90,08/14/2023,Cash,$0.29,06/22/2023,08/15/2023,09/01/2023,USD,N/A,$2.67,Computer Communications Equipment,,,
52,$5.07,2.22,time-not-supplied,ULTA,"Ulta Beauty, Inc.","$23,787,859,102",Oct/2023,$4.96,14,,2023-11-30,5.07,4.96,,,,,,,,,,,,,
53,$0.40,N/A,time-not-supplied,KT,KT Corporation,"$6,728,801,577",Sep/2023,,N/A,,2023-11-30,0.40,,12/29/2022,Cash,$0.729237,12/13/2022,12/30/2022,05/04/2023,USD,N/A,$2.67,Computer Communications Equipment,,,
54,$2.25,2.74,time-not-supplied,DOOO,BRP Inc.,"$4,640,881,215",Oct/2023,$2.19,4,,2023-11-30,2.25,2.19,03/31/2023,Cash,$0.13248,03/22/2023,04/03/2023,04/17/2023,USD,N/A,$2.67,Computer Communications Equipment,,,
55,$0.36,-21.74,time-not-supplied,FRO,Frontline Plc,"$4,292,113,600",Sep/2023,$0.46,2,,2023-11-30,0.36,0.46,12/14/2023,Cash,$0.30,11/29/2023,12/15/2023,12/29/2023,USD,N/A,$2.67,Computer Communications Equipment,,,
56,$1.29,-17.83,time-not-supplied,ASO,"Academy Sports and Outdoors, Inc.","$4,119,109,381",Oct/2023,$1.57,7,,2023-11-30,1.29,1.57,12/12/2023,Cash,$0.09,11/29/2023,12/13/2023,01/10/2024,USD,N/A,$2.67,Computer Communications Equipment,,,
57,$0.51,-34.62,time-not-supplied,CBRL,"Cracker Barrel Old Country Store, Inc.","$1,640,810,883",Oct/2023,$0.78,4,,2023-11-30,0.51,0.78,01/18/2024,Cash,$1.30,11/16/2023,01/19/2024,02/13/2024,USD,N/A,$2.67,Computer Communications Equipment,,,
58,$2.36,28.26,time-not-supplied,AMWD,American Woodmark Corporation,"$1,374,904,684",Oct/2023,$1.84,2,,2023-11-30,2.36,1.84,06/10/2003,Cash,$0.05,N/A,06/10/2003,N/A,USD,N/A,$2.67,Computer Communications Equipment,,,
59,$0.11,10,time-not-supplied,CHS,"Chico's FAS, Inc.","$932,103,098",Oct/2023,$0.10,2,,2023-11-30,0.11,0.10,03/13/2020,Cash,$0.09,02/27/2020,03/16/2020,03/30/2020,USD,N/A,$2.67,Computer Communications Equipment,,,
60,$1.49,88.61,time-not-supplied,REX,REX American Resources Corporation,"$721,329,331",Oct/2023,$0.79,1,,2023-11-30,1.49,0.79,,,,,,,,,,,,,
61,$0.78,N/A,time-not-supplied,MOV,Movado Group Inc.,"$618,461,108",Oct/2023,,N/A,,2023-11-30,0.78,,09/06/2023,Cash,$0.35,08/24/2023,09/07/2023,09/21/2023,USD,N/A,$2.67,Computer Communications Equipment,,,
62,$1.32,-12.58,time-not-supplied,TITN,Titan Machinery Inc.,"$595,604,881",Oct/2023,$1.51,3,,2023-11-30,1.32,1.51,,,,,,,,,,,,,
63,$0.59,55.26,time-not-supplied,GCT,GigaCloud Technology Inc,"$419,910,400",Sep/2023,$0.38,1,,2023-11-30,0.59,0.38,,,,,,,,,,,,,
64,$0.53,3.92,time-not-supplied,BBW,"Build-A-Bear Workshop, Inc.","$341,056,041",Oct/2023,$0.51,3,,2023-11-30,0.53,0.51,03/22/2023,Cash,$1.50,03/08/2023,03/23/2023,04/06/2023,USD,N/A,$2.67,Computer Communications Equipment,,,
65,$0.19,46.15,time-not-supplied,AOUT,"American Outdoor Brands, Inc.","$100,905,987",Oct/2023,$0.13,2,,2023-11-30,0.19,0.13,,,,,,,,,,,,,
66,$0.05,N/A,time-not-supplied,BOSC,B.O.S. Better Online Solutions,"$15,219,000",Sep/2023,,N/A,,2023-11-30,0.05,,,,,,,,,,,,,,
67,$2.07,N/A,time-not-supplied,BMO,Bank Of Montreal,"$62,048,651,487",Oct/2023,$2.07,3,,2023-12-01,2.07,2.07,,,,,,,,,,,,,
68,$0.57,-32.14,time-not-supplied,GCO,Genesco Inc.,"$366,801,174",Oct/2023,$0.84,2,,2023-12-01,0.57,0.84,,,,,,,,,,,,,
69,$2.27,36.75,time-not-supplied,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,"$6,715,547,808",Oct/2023,$1.66,7,,2023-12-04,2.27,1.66,01/11/2024,Cash,$0.37,12/01/2023,01/12/2024,01/26/2024,USD,N/A,$29.78,Telecommunications Equipment,,,
70,$0.30,N/A,time-not-supplied,IDT,IDT Corporation,"$777,492,513",Oct/2023,,N/A,,2023-12-04,0.30,,06/18/2018,Cash,$0.09,06/06/2018,06/19/2018,06/29/2018,USD,N/A,$29.78,Telecommunications Equipment,,,
71,$32.55,4.97,time-not-supplied,AZO,"AutoZone, Inc.","$46,555,134,568",Nov/2023,$31.01,11,,2023-12-05,32.55,31.01,,,,,,,,,,,,,
72,$2.65,1.53,time-not-supplied,FERG,Ferguson plc,"$36,422,307,222",Oct/2023,$2.61,5,,2023-12-05,2.65,2.61,12/14/2023,Cash,$0.79,01/05/2023,12/15/2023,02/06/2024,USD,N/A,$14.94,N/A,,,
73,$2.59,4.86,time-not-supplied,SJM,J.M. Smucker Company (The),"$12,849,769,396",Oct/2023,$2.47,8,,2023-12-05,2.59,2.47,11/16/2023,Cash,$1.06,10/19/2023,11/17/2023,12/01/2023,USD,N/A,$14.94,N/A,,,
74,$4.11,12.3,time-not-supplied,TOL,"Toll Brothers, Inc.","$9,797,785,640",Oct/2023,$3.66,8,,2023-12-05,4.11,3.66,10/05/2023,Cash,$0.21,09/19/2023,10/06/2023,10/20/2023,USD,N/A,$14.94,N/A,,,
75,$0.65,-4.41,time-not-supplied,CNM,"Core & Main, Inc.","$7,870,578,861",Oct/2023,$0.68,3,,2023-12-05,0.65,0.68,,,,,,,,,,,,,
76,$0.31,-3.12,time-not-supplied,DSGX,The Descartes Systems Group Inc.,"$7,061,422,458",Oct/2023,$0.32,1,,2023-12-05,0.31,0.32,,,,,,,,,,,,,
77,$0.40,25,time-not-supplied,HQY,"HealthEquity, Inc.","$5,810,453,471",Oct/2023,$0.32,6,,2023-12-05,0.40,0.32,,,,,,,,,,,,,
78,$0.24,60,time-not-supplied,SIG,Signet Jewelers Limited,"$4,315,171,800",Oct/2023,$0.15,2,,2023-12-05,0.24,0.15,01/25/2024,Cash,$0.23,12/05/2023,01/26/2024,02/23/2024,USD,N/A,$14.94,N/A,,,
79,$0.02,N/A,time-not-supplied,BOX,"Box, Inc.","$3,476,347,140",Oct/2023,$0.02,7,,2023-12-05,0.02,0.02,,,,,,,,,,,,,
80,$0.97,44.78,time-not-supplied,AVAV,"AeroVironment, Inc.","$3,258,174,229",Oct/2023,$0.67,3,,2023-12-05,0.97,0.67,,,,,,,,,,,,,
81,$0.01,104.55,time-not-supplied,PLAY,"Dave & Buster's Entertainment, Inc.","$1,836,643,149",Oct/2023,($0.22),6,,2023-12-05,0.01,-0.22,01/09/2020,Cash,$0.16,12/19/2019,01/10/2020,02/10/2020,USD,N/A,$14.94,N/A,,,
82,$2.78,33.65,time-not-supplied,GIII,"G-III Apparel Group, LTD.","$1,375,030,796",Oct/2023,$2.08,4,,2023-12-05,2.78,2.08,,,,,,,,,,,,,
83,$1.95,57.26,time-not-supplied,POWL,"Powell Industries, Inc.","$1,023,599,311",Sep/2023,$1.24,1,,2023-12-05,1.95,1.24,11/14/2023,Cash,$0.2625,10/31/2023,11/15/2023,12/13/2023,USD,N/A,$14.94,N/A,,,
84,$15.57,N/A,time-not-supplied,HOV,Hovnanian Enterprises Inc,"$792,256,422",Oct/2023,,N/A,,2023-12-05,15.57,,,,,,,,,,,,,,
85,$0,100,time-not-supplied,YEXT,"Yext, Inc.","$666,272,643",Oct/2023,($0.03),2,,2023-12-05,0,-0.03,,,,,,,,,,,,,
86,$0.24,-45.45,time-not-supplied,DBI,Designer Brands Inc.,"$498,069,124",Oct/2023,$0.44,3,,2023-12-05,0.24,0.44,10/02/2023,Cash,$0.05,09/19/2023,10/03/2023,10/17/2023,USD,N/A,$14.94,N/A,,,
87,$0.28,N/A,time-not-supplied,DAKT,"Daktronics, Inc.","$389,760,601",Oct/2023,,N/A,,2023-12-05,0.28,,03/06/2020,Cash,$0.05,02/25/2020,03/09/2020,03/19/2020,USD,N/A,$14.94,N/A,,,
88,$0.78,N/A,time-not-supplied,VLGEA,"Village Super Market, Inc.","$372,705,077",Oct/2023,,N/A,,2023-12-05,0.78,,10/04/2023,Cash,$0.25,09/15/2023,10/05/2023,10/26/2023,USD,N/A,$14.94,N/A,,,
89,$0.78,25.81,time-not-supplied,JILL,"J. Jill, Inc.","$275,988,411",Oct/2023,$0.62,2,,2023-12-05,0.78,0.62,03/18/2019,Cash,$1.15,03/06/2019,03/19/2019,04/01/2019,USD,N/A,$14.94,N/A,,,
90,$0.01,N/A,time-not-supplied,OOMA,"Ooma, Inc.","$258,048,000",Oct/2023,$0.01,6,,2023-12-05,0.01,0.01,,,,,,,,,,,,,
91,$0.41,N/A,time-not-supplied,HG,"Hamilton Insurance Group, Ltd.",,Sep/2023,,N/A,,2023-12-05,0.41,,,,,,,,,,,,,,
92,$0.85,10.39,time-not-supplied,VEEV,Veeva Systems Inc.,"$27,785,372,184",Oct/2023,$0.77,12,,2023-12-06,0.85,0.77,,,,,,,,,,,,,
93,$0.50,N/A,time-not-supplied,BF.A,Brown Forman Corporation,"$26,796,449,223",Oct/2023,,N/A,,2023-12-06,0.50,,09/01/2023,Cash,$0.2055,07/27/2023,09/05/2023,10/02/2023,USD,N/A,$1.21,Clothing/Shoe/Accessory Stores,,,
94,$0.50,N/A,time-not-supplied,BF.B,Brown Forman Corporation,"$25,930,820,228",Oct/2023,$0.50,6,,2023-12-06,0.50,0.50,09/01/2023,Cash,$0.2055,07/27/2023,09/05/2023,10/02/2023,USD,N/A,$1.21,Clothing/Shoe/Accessory Stores,,,
95,$0.91,4.6,time-not-supplied,CPB,Campbell Soup Company,"$12,942,740,356",Oct/2023,$0.87,9,,2023-12-06,0.91,0.87,01/03/2024,Cash,$0.37,11/29/2023,01/04/2024,01/29/2024,USD,N/A,$1.21,Clothing/Shoe/Accessory Stores,,,
96,$0,100,time-not-supplied,CHWY,"Chewy, Inc.","$8,275,251,130",Oct/2023,($0.06),5,,2023-12-06,0,-0.06,,,,,,,,,,,,,
97,$0.99,13.79,time-not-supplied,THO,"Thor Industries, Inc.","$5,710,396,159",Oct/2023,$0.87,6,,2023-12-06,0.99,0.87,10/31/2023,Cash,$0.48,10/10/2023,11/01/2023,11/10/2023,USD,N/A,$1.21,Clothing/Shoe/Accessory Stores,,,
98,$0,100,time-not-supplied,GME,GameStop Corporation,"$4,998,214,193",Oct/2023,($0.12),3,,2023-12-06,0,-0.12,03/14/2019,Cash,$0.38,03/05/2019,03/15/2019,03/29/2019,USD,N/A,$1.21,Clothing/Shoe/Accessory Stores,,,
99,$0.51,13.33,time-not-supplied,OLLI,"Ollie's Bargain Outlet Holdings, Inc.","$4,501,163,237",Oct/2023,$0.45,8,,2023-12-06,0.51,0.45,,,,,,,,,,,,,
100,$1.56,N/A,time-not-supplied,GEF.B,"Greif, Inc.","$3,156,554,894",Oct/2023,,N/A,,2023-12-06,1.56,,12/15/2023,Cash,$0.77,12/05/2023,12/18/2023,01/01/2024,USD,N/A,$1.21,Clothing/Shoe/Accessory Stores,,,
101,$1.56,20,time-not-supplied,GEF,"Greif, Inc.","$3,151,406,302",Oct/2023,$1.30,3,,2023-12-06,1.56,1.30,12/15/2023,Cash,$0.52,12/05/2023,12/18/2023,01/01/2024,USD,N/A,$1.21,Clothing/Shoe/Accessory Stores,,,
102,$0.06,200,time-not-supplied,CXM,"Sprinklr, Inc.","$3,042,922,932",Oct/2023,$0.02,7,,2023-12-06,0.06,0.02,,,,,,,,,,,,,
103,$0.97,1.04,time-not-supplied,KFY,Korn Ferry ,"$2,840,252,456",Oct/2023,$0.96,2,,2023-12-06,0.97,0.96,12/20/2023,Cash,$0.33,12/05/2023,12/21/2023,01/12/2024,USD,N/A,$1.21,Clothing/Shoe/Accessory Stores,,,
104,$0.40,29.03,time-not-supplied,VRNT,Verint Systems Inc.,"$1,802,242,413",Oct/2023,$0.31,3,,2023-12-06,0.40,0.31,,,,,,,,,,,,,
105,$0.73,N/A,time-not-supplied,WLY,"John Wiley & Sons, Inc.","$1,672,821,367",Oct/2023,,N/A,,2023-12-06,0.73,,10/06/2023,Cash,$0.35,09/28/2023,10/10/2023,10/25/2023,USD,N/A,$1.21,Clothing/Shoe/Accessory Stores,,,
106,$0.73,N/A,time-not-supplied,WLYB,"John Wiley & Sons, Inc.","$1,640,248,278",Oct/2023,,N/A,,2023-12-06,0.73,,04/04/2022,Cash,$0.345,03/24/2022,04/05/2022,04/20/2022,USD,N/A,$1.21,Clothing/Shoe/Accessory Stores,,,
107,$1.01,4.12,time-not-supplied,OXM,"Oxford Industries, Inc.","$1,482,527,798",Oct/2023,$0.97,4,,2023-12-06,1.01,0.97,01/18/2024,Cash,$0.65,12/06/2023,01/19/2024,02/02/2024,USD,N/A,$1.21,Clothing/Shoe/Accessory Stores,,,
108,$0.14,N/A,time-not-supplied,NAPA,"The Duckhorn Portfolio, Inc.","$1,036,002,035",Oct/2023,$0.14,3,,2023-12-06,0.14,0.14,,,,,,,,,,,,,
109,$0.40,N/A,time-not-supplied,AGX,"Argan, Inc.","$557,504,634",Oct/2023,,N/A,,2023-12-06,0.40,,10/20/2023,Cash,$0.30,09/19/2023,10/23/2023,10/31/2023,USD,N/A,$1.21,Clothing/Shoe/Accessory Stores,,,
110,$0.19,111.11,time-not-supplied,VRA,"Vera Bradley, Inc.","$227,195,012",Oct/2023,$0.09,2,,2023-12-06,0.19,0.09,,,,,,,,,,,,,
111,$0.17,N/A,time-not-supplied,VBNK,VersaBank,"$212,927,664",Oct/2023,$0.32,1,,2023-12-06,0.17,0.32,10/05/2023,Cash,$0.01824,08/29/2023,10/06/2023,10/31/2023,USD,N/A,$1.21,Clothing/Shoe/Accessory Stores,,,
