,lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry,dividend_yield_Rate,declare_date,dividend,epsFix,epsForecastFix
23,11/21/2022,$0.01,time-pre-market,DOYU,DouYu International Holdings Limited,"$232,093,892",Sep/2023,$0.01,1,,,2023-12-07,,0,0.01
24,12/08/2022,$0.42,time-pre-market,HOFT,Hooker Furnishings Corporation,"$210,627,480",Oct/2023,$0.25,2,,,2023-12-07,,0,0.25
25,11/10/2022,($0.25),time-not-supplied,ALDX,"Aldeyra Therapeutics, Inc.","$192,348,211",Sep/2023,($0.24),4,,,2023-12-07,,0,-0.24
26,N/A,$0.08,time-not-supplied,UONEK,"Urban One, Inc. ","$144,515,373",Sep/2023,,N/A,,,2023-12-07,,0,
27,11/03/2022,($0.01),time-not-supplied,RNAC,"Cartesian Therapeutics, Inc.","$139,683,763",Sep/2023,($0.10),1,,,2023-12-07,,0,-0.10
28,N/A,$0.16,time-not-supplied,WILC,"G. Willi-Food International,  Ltd.","$126,189,854",Sep/2023,,N/A,,,2023-12-07,,0,
29,12/12/2022,$0.04,time-after-hours,DLNG,Dynagas LNG Partners LP,"$100,102,111",Sep/2023,$0.11,1,,,2023-12-07,,0,0.11
30,11/17/2022,($0.04),time-not-supplied,DLA,"Delta Apparel, Inc.","$63,440,681",Sep/2023,,N/A,,,2023-12-07,,0,
31,11/30/2022,$0.01,time-after-hours,GNSS,Genasys Inc.,"$62,836,009",Sep/2023,($0.08),3,,,2023-12-07,,0,-0.08
32,N/A,$0.07,time-not-supplied,NA,Nano Labs Ltd,"$45,713,638",Sep/2023,,N/A,,,2023-12-07,,0,
33,N/A,$0.01,time-not-supplied,GROW,"U.S. Global Investors, Inc.","$43,214,191",Sep/2023,,N/A,,,2023-12-07,,0,
34,N/A,$0.11,time-not-supplied,MAQC,Maquia Capital Acquisition Corporation,"$43,203,852",Sep/2023,,N/A,,,2023-12-07,,0,
35,N/A,$0.08,time-not-supplied,UONE,"Urban One, Inc. ","$42,567,863",Sep/2023,,N/A,,,2023-12-07,,0,
36,11/10/2022,$0.03,time-not-supplied,CELU,Celularity Inc.,"$41,989,506",Sep/2023,($0.03),1,,,2023-12-07,,0,-0.03
37,N/A,$0.01,time-pre-market,KRKR,36Kr Holdings Inc.,"$27,285,117",Sep/2023,,N/A,,,2023-12-07,,0,
38,N/A,N/A,time-not-supplied,HOLO,MicroCloud Hologram Inc.,"$23,470,078",Sep/2023,,N/A,,,2023-12-07,,0,
39,N/A,($0.47),time-not-supplied,BQ,Boqii Holding Limited,"$15,164,005",Sep/2023,,N/A,,,2023-12-07,,0,
40,N/A,N/A,time-not-supplied,KZIA,Kazia Therapeutics Limited,"$10,210,003",Sep/2023,,N/A,,,2023-12-07,,0,
41,11/10/2022,($2.25),time-not-supplied,MINM,"Minim, Inc.","$7,214,178",Sep/2023,,N/A,,,2023-12-07,,0,
42,N/A,($7.50),time-not-supplied,MDVL,"MedAvail Holdings, Inc. ","$3,824,969",Sep/2023,,N/A,,,2023-12-07,,0,
