,Symbol,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
177,FLS,20231227223418,$41.75,12/28/2023,1.92%,,12/12/2023,0.8,Fluid Controls,,
178,MFA,20231227223419,$11.83,12/28/2023,11.89%,,12/13/2023,1.4,Real Estate Investment Trusts,,
179,OBDC,20231227223421,$15.14,12/28/2023,9.52%,,11/08/2023,1.4,Investment Managers,,
180,LII,20231227223422,$446.24,12/28/2023,0.98%,,12/08/2023,4.4,Industrial Machinery/Components,,
181,HPI,20231227223423,$15.52,12/28/2023,9.53%,,12/19/2023,1.482,"Trusts, Except Educational, Religious, and Charitable",,
182,TRAK,20231227223425,$10.46,12/28/2023,0.56%,,12/12/2023,0.066,EDP Services,,
183,AXS,20231227223426,$54.56,12/28/2023,3.22%,,12/07/2023,1.76,Property-Casualty Insurers,,
184,SHO,20231227223428,$11.05,12/28/2023,2.54%,,12/06/2023,0.28,Hotels/Resorts,,
185,SHO,20231227223429,$11.05,12/28/2023,2.54%,,12/06/2023,0.28,Hotels/Resorts,,
186,IGD,20231227223430,$5.00,12/28/2023,9.58%,,12/18/2023,0.48,"Trusts, Except Educational, Religious, and Charitable",,
187,DRH,20231227223432,$9.61,12/28/2023,1.25%,,12/01/2023,0.12,Real Estate Investment Trusts,,
188,FMY,20231227223433,$11.995,12/28/2023,8.15%,,12/18/2023,0.99,Finance/Investors Services,,
189,IGA,20231227223435,$8.64,12/28/2023,9.11%,,12/18/2023,0.788,Investment Managers,,
190,FPI,20231227223436,$13.00,12/28/2023,1.85%,,12/12/2023,0.24,Real Estate Investment Trusts,,
191,DEI,20231227223438,$15.22,12/28/2023,5.1%,,12/13/2023,0.76,Real Estate Investment Trusts,,
192,PRIM,20231227223439,$33.52,12/28/2023,0.72%,,11/07/2023,0.24,"Water, Sewer, Pipeline, Comm & Power Line Construction",,
