companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
SM Energy Company Common Stock,SM,7/19/2024,8/05/2024,7/19/2024,0.18,0.72,6/24/2024
"Pioneer High Income Fund, Inc.",PHT,7/19/2024,7/31/2024,7/19/2024,0.055,0.66,7/03/2024
"Pioneer Municipal High Income Fund, Inc.",MHI,7/19/2024,7/31/2024,7/19/2024,0.035,0.42,7/03/2024
"Pioneer Municipal High Income Advantage Fund, Inc.",MAV,7/19/2024,7/31/2024,7/19/2024,0.0325,0.39,7/03/2024
CBRE Global Real Estate Income Fund Common Shares of Beneficial Interest,IGR,7/19/2024,7/31/2024,7/19/2024,0.06,0.72,7/08/2024
"Pioneer Floating Rate Fund, Inc.",PHD,7/19/2024,7/31/2024,7/19/2024,0.0925,1.11,7/03/2024
Costamare Inc. Common Stock $0.0001 par value,CMRE,7/19/2024,8/06/2024,7/19/2024,0.115,0.46,7/01/2024
abrdn Income Credit Strategies Fund Common Shares,ACP,7/19/2024,7/31/2024,7/19/2024,0.1,1.2,7/09/2024
Carlyle Credit Income Fund Shares of Beneficial Interest,CCIF,7/19/2024,7/31/2024,7/19/2024,0.105,1.26,5/29/2024
Pentair plc. Ordinary Share,PNR,7/19/2024,8/02/2024,7/19/2024,0.23,0.92,5/06/2024
Luxfer Holdings PLC Ordinary Shares,LXFR,7/19/2024,8/07/2024,7/19/2024,0.13,0.52,7/08/2024
nVent Electric plc Ordinary Shares ,NVT,7/19/2024,8/02/2024,7/19/2024,0.19,0.76,5/17/2024
"Pioneer Municipal High Income Opportunities Fund, Inc. Common Stock",MIO,7/19/2024,7/31/2024,7/19/2024,0.05,0.6,7/03/2024
Pacificorp 6% PRF PERPETUAL USD 100,PPWLO,7/19/2024,8/15/2024,7/19/2024,1.5,6.0,6/15/2024
Pacificorp 7% PRF PERPETUAL USD 100,PPWLM,7/19/2024,8/15/2024,7/19/2024,1.75,7.0,6/15/2024
First Group ADR,FGROY,7/19/2024,9/06/2024,7/19/2024,0.042991,0.086,N/A
Shui on land Limited ADR,SOLLY,7/19/2024,7/24/2024,7/19/2024,0.32118,0.4848,N/A
Shanghai Pharmaceuticals Holding Co. Ltd. ADR,SHPMY,7/19/2024,9/11/2024,7/19/2024,0.223344,0.2233,N/A
Foschini Group,FHNGY,7/19/2024,8/05/2024,7/19/2024,0.0643357,0.1627,N/A
Carlyle Credit Income Fund 8.75% Series A Preferred Shares due 2028,CCIA,7/19/2024,7/31/2024,7/19/2024,0.1823,2.1875,5/29/2024
C&C Group ADR,CCGPY,7/19/2024,9/09/2024,7/19/2024,0.08117,0.1193,N/A
Fortitude Gold Corp Com,FTCO,7/19/2024,7/31/2024,7/19/2024,0.04,0.48,7/03/2024
