companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Civeo Corporation (Canada) Common Shares,CVEO,5/23/2024,6/17/2024,5/27/2024,0.25,1.0,4/26/2024
Grupo Supervielle S.A. American Depositary Shares each Representing five Class B shares,SUPV,5/23/2024,5/31/2024,5/24/2024,0.169952,0.17,5/14/2024
Diversified Energy Company plc Ordinary Shares,DEC,5/23/2024,6/28/2024,5/24/2024,0.29,1.16,3/19/2024
Highland Opportunities and Income Fund Common Shares of Beneficial Interest,HFRO,5/23/2024,5/31/2024,5/24/2024,0.0385,0.462,5/01/2024
Highland Global Allocation Fund Common Stock,HGLB,5/23/2024,5/31/2024,5/24/2024,0.081,0.972,4/01/2024
Ecofin Sustainable and Social Impact Term Fund,TEAF,5/23/2024,5/31/2024,5/24/2024,0.09,1.08,2/07/2024
Burford Capital Limited Ordinary Shares,BUR,5/23/2024,6/14/2024,5/24/2024,0.0625,0.125,3/14/2024
Bowlero Corp. Class A Common Stock,BOWL,5/23/2024,6/07/2024,5/24/2024,0.055,0.22,5/06/2024
MainStay CBRE Global Infrastructure Megatrends Term Fund Common Shares,MEGI,5/23/2024,5/31/2024,5/24/2024,0.125,1.5,5/14/2024
PHINIA Inc. Common Stock,PHIN,5/23/2024,6/14/2024,5/24/2024,0.25,1.0,5/09/2024
Valeo SE ADR (Sponsored),VLEEY,5/23/2024,6/14/2024,5/24/2024,0.214328,0.2143,N/A
Paul Mueller Co.,MUEL,5/23/2024,6/28/2024,5/24/2024,0.23,0.92,5/10/2024
Pinnacle Bankshares Corp.,PPBN,5/23/2024,6/07/2024,5/24/2024,0.25,1.0,5/14/2024
International Paper Co. PRF PERPETUAL USD 4,INPAP,5/23/2024,6/14/2024,5/24/2024,1.0,4.0,5/14/2024
Northfield Precision Instrument Corp.,NFPC,5/23/2024,5/31/2024,5/24/2024,0.25,0.5,4/30/2024
Societe Generale S.A. ADR,SCGLY,5/23/2024,6/13/2024,5/24/2024,0.19395,0.194,N/A
Security National Corp.,SNLC,5/23/2024,6/14/2024,5/24/2024,0.5,2.0,4/23/2024
Shenzhen Investment Holdings Bay Area Development Company Limited ADR,SIHBY,5/23/2024,7/22/2024,5/24/2024,0.142684,0.2854,N/A
Whitbread plc ADR,WTBDY,5/23/2024,7/12/2024,5/24/2024,0.1973487,0.3947,N/A
Mediobanca - Banca Di Credito Finanziario Spa ADR,MDIBY,5/23/2024,1/01/0001,5/24/2024,0.358781,0.3588,N/A
Orica Ltd. ADR,OCLDY,5/23/2024,7/18/2024,5/24/2024,0.110486,0.221,N/A
Teleperformance ADR,TLPFY,5/23/2024,6/14/2024,5/24/2024,2.074187,2.0742,N/A
Century Next Financial Corp,CTUY,5/23/2024,6/07/2024,5/24/2024,0.42,0.42,4/23/2024
Bellway plc ADR,BLWYY,5/23/2024,7/16/2024,5/24/2024,0.176803,0.3536,N/A
Diploma plc ADR,DPMAY,5/23/2024,6/24/2024,5/24/2024,0.819221,2.8073,N/A
Brenntag SE ADR,BNTGY,5/23/2024,6/12/2024,5/24/2024,0.049779,0.0498,N/A
CompuGroup Medical SE & Co. KgaA ADR,CMPUY,5/23/2024,6/11/2024,5/24/2024,0.737051,0.7371,N/A
Chandra Asri Pacific Tbk PT ADR,PTCAY,5/23/2024,6/27/2024,5/24/2024,0.024384,0.0488,N/A
Robinsons Retail Holdings Inc ADR,RRETY,5/23/2024,6/25/2024,5/24/2024,0.22845,0.2284,N/A
LEG Immobilien SE ADR,LGMMY,5/23/2024,6/11/2024,5/24/2024,0.443207,0.4432,N/A
MTR Corporation Ltd. ADR,MTCPY,5/23/2024,7/31/2024,5/24/2024,0.2730888,0.5462,N/A
Fuyao Glass Industry Group Co Ltd ADR,FYGGY,5/23/2024,7/05/2024,5/24/2024,0.032164,0.0322,N/A
Puma SE ADR,PUMSY,5/23/2024,6/11/2024,5/24/2024,0.055921,0.0559,N/A
China Feihe Limited ADR,CFEIY,5/23/2024,6/20/2024,5/24/2024,0.151719,0.3034,N/A
Keywords Studios Plc ADR,KYYWY,5/23/2024,7/15/2024,5/24/2024,0.018019,0.0427,N/A
Sunac Services Holdings,SSHLY,5/23/2024,6/18/2024,5/24/2024,0.063523,0.2217,N/A
Nemetschek,NEMKY,5/23/2024,6/12/2024,5/24/2024,0.066583,0.0666,N/A
